timestamp rot_error_deg rot_chordal_error trans_abs_error trans_norm_error
24.0049 123.923 2.49646 28.7264 0.935077
24.0549 0.140884 0.0034774 0 0
24.1049 0.0453957 0.00112049 0 0
24.1549 0.1602 0.00395417 0 0
24.4049 0.12393 0.00305892 0 0
24.6549 0.121554 0.00300027 0 0
24.8049 0.058635 0.00144727 0 0
25.0549 0.0126862 0.000313129 0 0
25.2549 0.0902522 0.00222767 0 0
25.4549 0.0784796 0.00193709 0 0
25.7049 0.0870741 0.00214922 0 0
25.9049 0.0488687 0.00120621 0 0
26.1549 0.370991 0.00915704 0 0
26.3549 0.0792046 0.00195498 0 0
26.5549 0.177671 0.00438539 0 0
26.7549 0.121061 0.00298812 0 0
26.9549 0.0500987 0.00123657 0 0
27.1549 0.275795 0.00680735 0 0
27.3549 0.0672879 0.00166085 0 0
27.5549 0.0419814 0.00103621 0 0
27.7549 0.15593 0.00384878 0 0
27.9549 0.272259 0.00672009 0 0
28.1549 0.137445 0.00339251 0 0
28.3549 0.534381 0.0131899 0 0
28.6549 0.0571285 0.00141008 0 0
28.8549 0.109093 0.0026927 0 0
29.1049 0.0509551 0.00125771 0 0
29.3049 0.0405598 0.00100112 0 0
29.5049 0.0910645 0.00224772 0 0
29.6549 0.137458 0.00339283 0 0
29.8049 0.0406571 0.00100353 0 0
30.0049 0.0783265 0.00193331 0 0
30.3549 0.141564 0.00349417 0 0
30.6049 0.0474703 0.00117169 0 0
30.7549 0.0339472 0.000837908 0 0
30.9549 0.132299 0.0032655 0 0
31.1549 0.0860087 0.00212293 0 0
31.5049 1.29659 0.0320026 0 0
31.7049 1.63516 0.0403587 0 0
31.9549 2.74151 0.0676613 0 0
32.2049 3.19575 0.0788695 0 0
32.3549 2.02119 0.0498857 0 0
32.5549 2.54137 0.0627228 0 0
32.8049 3.41235 0.0842135 0 0
33.1049 4.18138 0.103185 0 0
33.2549 2.20016 0.0543024 0 0
33.4549 3.00006 0.0740411 0 0
33.5549 1.18159 0.0291643 0 0
33.9049 4.85966 0.119913 0 0
34.0549 2.02059 0.049871 0 0
34.2549 2.74805 0.0678227 0 0
34.4049 2.18157 0.0538438 0 0
34.6549 3.22738 0.0796498 0 0
34.8549 2.73731 0.0675577 0 0
35.1549 4.11003 0.101425 0 0
35.4549 4.07597 0.100585 0 0
35.5049 0.906272 0.022369 0 0
35.7549 3.32483 0.0820542 0 0
35.9049 2.16459 0.0534247 0 0
36.2049 4.21904 0.104114 0 0
36.4049 2.97023 0.073305 0 0
36.6549 3.54127 0.0873941 0 0
36.8549 3.11535 0.0768858 0 0
36.9049 0.888428 0.0219286 0 0
37.0549 2.18883 0.054023 0 0
37.2049 1.85 0.045661 0 0
37.4049 2.05798 0.0507937 0 0
37.6549 1.06647 0.026323 0 0
37.7549 0.495976 0.012242 0 0
38.0049 1.36994 0.033813 0 0
38.3549 0.766296 0.0189141 0 0
38.5049 0.365777 0.00902834 0 0
38.7049 0.887816 0.0219135 0 0
38.7549 0.531094 0.0131088 0 0
39.0549 3.30011 0.0814442 0 0
39.2549 2.17986 0.0538016 0 0
39.5049 3.80832 0.0939822 0 0
39.6549 2.04099 0.0503745 0 0
39.9049 3.47635 0.0857926 0 0
40.0549 1.83515 0.0452945 0 0
40.3049 2.0643 0.0509496 0 0
40.3549 0.170441 0.00420695 0 0
40.5549 0.521203 0.0128647 0 0
40.6549 0.344345 0.00849935 0 0
41.0549 1.56473 0.0386205 0 0
41.3049 0.513118 0.0126651 0 0
41.5049 0.106498 0.00262865 0 0
41.5549 0.149075 0.00367957 0 0
41.7549 1.09839 0.0271107 0 0
41.9549 1.76306 0.0435153 0 0
42.1049 1.51556 0.0374069 0 0
42.4049 3.61241 0.0891493 0 0
42.6049 2.50079 0.0617212 0 0
42.7549 1.88374 0.0464936 0 0
43.0549 4.24148 0.104667 0 0
43.2549 2.67384 0.0659916 0 0
43.4549 1.34731 0.0332544 0 0
43.5549 0.18199 0.00449201 0 0
43.7549 0.585836 0.0144599 0 0
43.8049 0.452241 0.0111625 0 0
44.0049 1.5123 0.0373266 0 0
44.3049 3.16543 0.0781215 0 0
44.5549 2.98829 0.0737507 0 0
44.6049 0.369963 0.00913166 0 0
44.8049 3.12291 0.0770721 0 0
45.1049 3.72091 0.0918258 0 0
45.3549 3.52441 0.0869783 0 0
45.6549 3.8925 0.0960588 0 0
45.8049 2.07415 0.0511928 0 0
45.9549 2.06456 0.0509562 0 0
46.2049 3.60432 0.0889495 0 0
46.3549 2.38 0.0587405 0 0
46.4049 0.754151 0.0186143 0 0
46.6549 5.0869 0.125517 0 0
46.8049 1.96755 0.0485621 0 0
47.1049 3.50335 0.0864586 0 0
47.3049 2.86672 0.0707511 0 0
47.5549 3.11072 0.0767714 0 0
47.8549 4.21191 0.103938 0 0
48.0549 2.78543 0.0687452 0 0
48.2549 2.64489 0.0652773 0 0
48.3049 0.790072 0.0195009 0 0
48.6049 4.32448 0.106714 0 0
48.8049 2.8034 0.0691886 0 0
49.0049 2.12451 0.0524356 0 0
49.2549 3.54621 0.0875161 0 0
49.4549 2.85352 0.0704253 0 0
49.6549 3.11692 0.0769245 0 0
49.8049 1.96495 0.0484979 0 0
50.0049 2.98048 0.0735578 0 0
50.2049 2.99983 0.0740355 0 0
50.4549 4.32738 0.106786 0 0
50.7549 4.39557 0.108468 0 0
50.8549 1.35955 0.0335565 0 0
51.0049 1.8704 0.0461644 0 0
51.1549 1.28391 0.0316896 0 0
51.4049 1.58712 0.0391731 0 0
51.6049 1.15927 0.0286134 0 0
51.8549 0.472244 0.0116562 0 0
52.0549 0.926574 0.0228701 0 0
52.2049 1.22818 0.0303143 0 0
52.4049 1.87069 0.0461716 0 0
52.6549 2.43767 0.0601637 0 0
52.8549 2.26687 0.0559489 0 0
53.0049 2.5409 0.0627112 0 0
53.2049 1.9334 0.0477191 0 0
53.4549 0.623636 0.0153929 0 0
53.6549 1.2258 0.0302553 0 0
53.7049 0.405294 0.0100037 0 0
53.8549 0.885998 0.0218686 0 0
54.0549 1.83685 0.0453365 0 0
54.4049 3.99611 0.0986147 0 0
54.4549 0.745237 0.0183943 0 0
54.7049 3.45419 0.0852458 0 0
54.9049 2.78916 0.068837 0 0
55.2049 4.40732 0.108758 0 0
55.4049 2.45515 0.0605951 0 0
55.6049 2.5272 0.0623731 0 0
55.7549 1.97047 0.0486342 0 0
55.8049 0.669762 0.0165314 0 0
56.1049 4.40634 0.108733 0 0
56.4049 4.68769 0.115673 0 0
56.6049 2.80162 0.0691445 0 0
56.8549 3.49591 0.0862751 0 0
57.0049 1.94043 0.0478927 0 0
57.2049 2.89123 0.0713556 0 0
57.5549 5.1776 0.127754 0 0
57.7549 2.81769 0.0695412 0 0
57.9549 2.83932 0.070075 0 0
58.1549 2.7429 0.0676956 0 0
58.3049 1.41179 0.0348458 0 0
58.5049 1.46266 0.0361014 0 0
58.6549 0.896656 0.0221316 0 0
58.7049 0.317192 0.00782915 0 0
58.9549 0.43619 0.0107663 0 0
59.2049 1.013 0.0250031 0 0
59.4549 2.1293 0.0525538 0 0
59.5549 0.917511 0.0226464 0 0
59.8049 2.84066 0.0701079 0 0
60.0049 2.52958 0.0624318 0 0
60.1549 1.69025 0.0417184 0 0
60.4049 2.51156 0.061987 0 0
60.5049 1.2149 0.0299865 0 0
60.7549 3.49282 0.0861988 0 0
60.8549 1.23965 0.0305973 0 0
61.1549 3.97606 0.0981202 0 0
61.4549 4.24944 0.104864 0 0
61.6549 2.16719 0.053489 0 0
61.8549 1.72598 0.0426003 0 0
61.9549 1.20853 0.0298291 0 0
62.1049 2.45282 0.0605375 0 0
62.2049 1.05261 0.0259809 0 0
62.4049 2.48401 0.0613071 0 0
62.5549 1.35161 0.0333605 0 0
62.7049 2.55211 0.0629877 0 0
63.0049 2.68314 0.0662211 0 0
63.1049 1.27659 0.0315091 0 0
63.3549 2.95246 0.0728667 0 0
63.6549 4.29734 0.106045 0 0
63.8549 2.41549 0.0596162 0 0
64.0049 2.00932 0.049593 0 0
64.2049 2.88627 0.0712334 0 0
64.4049 2.09609 0.0517343 0 0
64.6049 1.40697 0.034727 0 0
64.8049 0.633276 0.0156309 0 0
65.0049 1.25394 0.0309499 0 0
65.2049 1.53482 0.0378823 0 0
65.4049 2.12721 0.0525023 0 0
65.6049 2.07522 0.0512193 0 0
65.8049 3.62452 0.0894478 0 0
65.9549 1.55856 0.0384683 0 0
66.1549 1.48165 0.0365702 0 0
66.3549 0.688799 0.0170013 0 0
66.5549 0.55924 0.0138035 0 0
66.7549 1.2753 0.0314772 0 0
66.9549 1.5907 0.0392616 0 0
67.1049 1.24242 0.0306656 0 0
67.3049 1.86557 0.0460451 0 0
67.5049 2.55691 0.0631061 0 0
67.6549 1.61618 0.0398902 0 0
67.7049 0.587255 0.014495 0 0
67.8549 2.40267 0.0593001 0 0
67.9549 0.702229 0.0173328 0 0
68.2049 2.31117 0.0570421 0 0
68.3049 1.20683 0.0297871 0 0
68.4549 0.360492 0.00889789 0 0
68.7049 2.01152 0.0496472 0 0
68.9049 1.17459 0.0289916 0 0
69.1549 4.23494 0.104506 0 0
69.3549 1.92536 0.0475208 0 0
69.6549 2.4263 0.059883 0 0
69.8549 0.508564 0.0125527 0 0
70.0049 0.520722 0.0128528 0 0
70.2049 0.340905 0.00841445 0 0
70.4049 0.846625 0.0208968 0 0
70.4549 0.153292 0.00378367 0 0
70.5049 0.109586 0.00270486 0 0
70.7549 1.16015 0.0286352 0 0
71.1049 3.19296 0.0788006 0 0
71.3049 2.35921 0.0582276 0 0
71.4549 1.52409 0.0376176 0 0
71.6549 2.58033 0.063684 0 0
71.8549 2.75818 0.0680726 0 0
72.0549 2.33453 0.0576184 0 0
72.2049 1.72804 0.0426509 0 0
72.4049 1.68835 0.0416716 0 0
72.5549 2.93952 0.0725473 0 0
72.7049 1.91734 0.0473228 0 0
72.9049 1.24503 0.03073 0 0
73.1049 4.14814 0.102365 0 0
73.1549 0.711149 0.0175529 0 0
73.4049 3.57565 0.0882422 0 0
73.7049 4.13256 0.101981 0 0
73.8549 2.10922 0.0520582 0 0
74.0549 2.51427 0.0620539 0 0
74.2549 2.72279 0.0671995 0 0
74.3049 0.611199 0.015086 0 0
74.5549 3.86397 0.0953551 0 0
74.7549 3.93562 0.0971226 0 0
74.9549 2.39051 0.059 0 0
75.1549 2.99725 0.0739718 0 0
75.3549 2.53398 0.0625404 0 0
75.4049 0.720457 0.0177827 0 0
75.6049 3.15306 0.0778161 0 0
75.7049 1.71979 0.0424474 0 0
76.0049 5.07578 0.125243 0 0
76.0549 0.81355 0.0200804 0 0
76.2549 3.03504 0.0749041 0 0
76.3049 0.526062 0.0129846 0 0
76.4549 2.5554 0.0630689 0 0
76.6549 2.87914 0.0710574 0 0
76.8549 2.44656 0.0603831 0 0
77.1549 3.02107 0.0745596 0 0
77.4549 0.951785 0.0234923 0 0
77.6049 0.424509 0.010478 0 0
77.8049 1.39892 0.0345283 0 0
77.8549 0.51615 0.0127399 0 0
78.1049 2.97623 0.0734531 0 0
78.2049 1.4536 0.0358779 0 0
78.4549 2.93481 0.072431 0 0
78.6549 2.70981 0.0668792 0 0
