timestamp rot_error_deg rot_chordal_error trans_abs_error trans_norm_error
24.0049 120.015 2.44967 30.7209 0
24.0549 0.0792107 0.00195513 0.0243543 0
24.1049 0.292451 0.00721847 0.0926352 0
24.1549 0.135391 0.00334181 0.0196255 0
24.4049 0.0882868 0.00217915 0.153658 0
24.6049 0.183047 0.00451809 0.110453 0
24.8049 0.0783393 0.00193362 0.0598059 0
25.0049 0.0935226 0.00230839 0.112794 0
25.1549 0.0105534 0.000260487 0.0569928 0
25.3549 0.115436 0.00284928 0.103381 0
25.5549 0.0972144 0.00239951 0.119327 0
25.7549 0.114772 0.00283287 0.119961 0
25.9549 0.342841 0.00846223 0.114675 0
26.1549 0.0709513 0.00175127 0.0945787 0
26.3549 0.16039 0.00395884 0.126468 0
26.5549 0.158185 0.00390442 0.0781437 0
26.7549 0.318874 0.00787065 0.132821 0
26.9549 0.155171 0.00383005 0.0940382 0
27.1549 0.0464704 0.00114701 0.144646 0
27.3549 0.0606745 0.00149761 0.111652 0
27.5049 0.109919 0.00271309 0.110038 0
27.7049 0.232096 0.00572875 0.136596 0
27.9049 0.0614389 0.00151648 0.125172 0
28.1549 0.163292 0.00403047 0.181438 0
28.4049 0.157538 0.00388846 0.16269 0
28.6549 0.106081 0.00261836 0.176259 0
28.9049 0.106516 0.00262909 0.168938 0
29.1549 0.286987 0.00708359 0.182751 0
29.3549 0.153212 0.00378168 0.143135 0
29.5049 0.0910552 0.00224749 0.0739001 0
29.6549 0.109737 0.00270859 0.0954114 0
29.7049 0.125248 0.00309145 0.0361883 0
29.8549 0.125558 0.0030991 0.0637124 0
30.0549 0.195571 0.00482721 0.163747 0
30.3549 0.0591194 0.00145923 0.214776 0
30.5549 0.312403 0.00771093 0.0826569 0
30.7549 0.0613945 0.00151538 0.0963795 0
30.9549 0.0571534 0.0014107 0.140876 0
31.1049 0.0604718 0.00149261 0.0755392 0
31.3049 0.26089 0.00643946 0.0957212 0
31.6049 1.79605 0.0443296 0.240845 0
31.8049 1.96339 0.0484593 0.101755 0
32.0049 2.25599 0.0556803 0.140773 0
32.2049 2.33851 0.0577168 0.138227 0
32.3549 2.13038 0.0525804 0.123258 0
32.6049 3.31375 0.0817809 0.173916 0
32.9049 4.15694 0.102582 0.2091 0
33.1049 2.8505 0.0703507 0.12646 0
33.2549 2.08503 0.0514613 0.112374 0
33.4049 1.98627 0.049024 0.120779 0
33.5549 2.11733 0.0522584 0.0969249 0
33.9049 4.99121 0.123157 0.217136 0
34.0549 2.21133 0.0545782 0.115833 0
34.2549 2.86081 0.0706052 0.151193 0
34.4049 1.97927 0.0488513 0.0591989 0
34.6549 3.44353 0.0849828 0.176245 0
34.7049 0.528943 0.0130557 0.0231861 0
35.0049 4.24698 0.104803 0.199306 0
35.2549 3.64683 0.0899984 0.169206 0
35.5049 3.51361 0.0867118 0.167077 0
35.5549 0.780238 0.0192582 0.0406101 0
35.7049 2.03315 0.050181 0.098652 0
35.9049 2.72763 0.0673189 0.132953 0
36.2049 4.03018 0.0994551 0.160237 0
36.3549 2.23903 0.0552619 0.0897978 0
