timestamp rot_error_deg rot_chordal_error trans_abs_error trans_norm_error
24.0049 120.015 2.44967 43.7632 1.42448
24.0549 0.860551 0.0212405 0 0
24.1049 0.302266 0.00746073 0 0
24.1549 0.449604 0.0110974 0 0
24.3549 0.055115 0.00136039 0 0
24.5549 0.0772061 0.00190565 0 0
24.7549 0.0297535 0.000734396 0 0
24.9049 0.0645699 0.00159376 0 0
25.1049 0.0487471 0.00120321 0 0
25.3049 0.0865954 0.00213741 0 0
25.5049 0.0527376 0.00130171 0 0
25.6549 0.0426493 0.0010527 0 0
25.8549 0.0144029 0.000355501 0 0
26.0549 0.0517289 0.00127681 0 0
26.2049 0.0910566 0.00224752 0 0
26.4049 0.124387 0.0030702 0 0
26.5549 0.0838259 0.00206905 0 0
26.7549 0.1732 0.00427504 0 0
26.9549 0.109604 0.00270532 0 0
27.1049 0.0892694 0.00220341 0 0
27.3049 0.118649 0.00292858 0 0
27.5049 0.120682 0.00297875 0 0
27.6549 0.0513488 0.00126743 0 0
27.8549 0.0465741 0.00114957 0 0
28.0049 0.0370121 0.000913558 0 0
28.1549 0.0560096 0.00138247 0 0
28.3549 0.112642 0.0027803 0 0
28.5549 0.0521569 0.00128737 0 0
28.7049 1.9383 0.0478402 0 0
28.9049 0.103403 0.00255227 0 0
29.1049 0.112781 0.00278374 0 0
29.3049 0.0956712 0.00236142 0 0
29.5049 0.0956063 0.00235982 0 0
29.6549 0.090429 0.00223203 0 0
29.7549 0.0491533 0.00121324 0 0
29.9549 0.0817888 0.00201877 0 0
30.2549 0.0320097 0.000790086 0 0
30.4549 0.0929993 0.00229547 0 0
30.6049 0.0287979 0.000710809 0 0
30.8049 0.195646 0.00482906 0 0
30.9549 0.0443986 0.00109588 0 0
31.1049 0.340884 0.00841392 0 0
31.2549 0.118559 0.00292636 0 0
31.5049 1.30815 0.0322879 0 0
31.6549 1.22814 0.0303133 0 0
31.8549 2.10087 0.0518523 0 0
32.0549 2.39083 0.0590079 0 0
32.2049 1.89361 0.0467373 0 0
32.3049 1.22558 0.03025 0 0
32.4049 1.45071 0.0358064 0 0
32.6049 2.64469 0.0652723 0 0
32.9049 4.05499 0.100067 0 0
33.1049 2.79229 0.0689145 0 0
33.2049 0.86234 0.0212847 0 0
33.3049 1.32586 0.032725 0 0
33.5049 2.2586 0.0557448 0 0
33.5549 0.825997 0.0203876 0 0
33.9049 4.76263 0.117521 0 0
34.0049 1.38147 0.0340976 0 0
34.1549 2.10823 0.0520338 0 0
34.3049 2.09322 0.0516633 0 0
34.5549 3.45017 0.0851465 0 0
34.6549 0.573506 0.0141556 0 0
34.8549 2.45935 0.0606986 0 0
35.0549 2.8117 0.0693934 0 0
35.3549 4.34341 0.107181 0 0
35.5549 2.97061 0.0733145 0 0
35.6049 0.741547 0.0183032 0 0
35.8049 3.11989 0.0769979 0 0
36.1049 4.30447 0.106221 0 0
36.2549 2.06583 0.0509876 0 0
36.4549 3.42946 0.0846356 0 0
36.6049 2.45841 0.0606755 0 0
36.8049 2.9369 0.0724827 0 0
36.9049 1.44062 0.0355573 0 0
37.0549 2.5504 0.0629455 0 0
37.1049 0.762125 0.0188111 0 0
37.3549 3.37761 0.0833563 0 0
37.4049 0.690421 0.0170413 0 0
37.7049 2.47509 0.0610871 0 0
37.8549 0.653118 0.0161206 0 0
38.0049 0.804492 0.0198569 0 0
38.2549 0.862306 0.0212838 0 0
38.5049 0.400063 0.0098746 0 0
38.6049 0.759726 0.0187519 0 0
38.8049 1.89547 0.0467831 0 0
38.8549 0.192059 0.00474054 0 0
39.1049 3.34756 0.0826149 0 0
39.2549 0.311244 0.00768233 0 0
39.5049 3.08713 0.0761894 0 0
39.6549 2.41448 0.0595915 0 0
39.8549 2.77719 0.0685418 0 0
40.0049 2.01143 0.049645 0 0
40.2049 1.97855 0.0488335 0 0
40.4049 1.28342 0.0316776 0 0
40.4549 0.666261 0.016445 0 0
40.6549 0.145221 0.00358445 0 0
40.7049 0.808934 0.0199665 0 0
41.0549 1.40635 0.0347117 0 0
41.3049 0.553326 0.0136575 0 0
41.3549 0.169958 0.00419501 0 0
41.5549 0.28508 0.00703654 0 0
41.6549 0.51767 0.0127774 0 0
41.9049 1.89701 0.0468213 0 0
41.9549 0.667434 0.016474 0 0
42.2049 2.6956 0.0665285 0 0
42.4049 2.39829 0.0591919 0 0
42.6049 2.58676 0.0638428 0 0
42.6549 0.377688 0.00932234 0 0
42.9049 3.23233 0.0797721 0 0
43.0549 2.00424 0.0494675 0 0
43.3049 3.11116 0.0767824 0 0
43.4549 0.822673 0.0203056 0 0
43.5549 0.132827 0.00327853 0 0
43.7049 0.318396 0.00785886 0 0
43.7549 0.316189 0.00780438 0 0
44.0049 1.71252 0.042268 0 0
44.1549 1.5074 0.0372056 0 0
44.2049 0.623802 0.015397 0 0
44.5549 4.1482 0.102366 0 0
44.7549 2.65251 0.0654653 0 0
44.8049 0.762606 0.018823 0 0
44.9049 1.54032 0.0380182 0 0
45.1549 3.25141 0.0802428 0 0
45.5049 5.06415 0.124956 0 0
45.7049 2.79859 0.06907 0 0
45.7549 0.829983 0.020486 0 0
45.9549 2.78601 0.0687593 0 0
46.1049 2.19869 0.0542663 0 0
46.3049 2.73578 0.0675199 0 0
46.3549 1.10345 0.0272356 0 0
46.5549 2.90804 0.0717706 0 0
46.6049 0.671824 0.0165823 0 0
46.8049 2.93536 0.0724446 0 0
47.1049 5.02681 0.124035 0 0
47.1549 0.921001 0.0227325 0 0
47.5049 4.77426 0.117808 0 0
47.7549 3.48469 0.0859982 0 0
47.9549 2.74959 0.0678608 0 0
48.0049 0.862655 0.0212924 0 0
48.2549 3.78126 0.0933147 0 0
48.3049 1.10544 0.0272848 0 0
48.4549 2.54918 0.0629155 0 0
48.6049 1.99506 0.0492411 0 0
48.9049 4.3331 0.106927 0 0
49.0049 1.39014 0.0343115 0 0
49.2549 3.52628 0.0870243 0 0
49.4549 2.8259 0.0697436 0 0
49.7049 3.91627 0.0966452 0 0
49.8049 1.4397 0.0355347 0 0
50.0049 2.86021 0.0705903 0 0
50.1549 2.32068 0.0572766 0 0
50.4549 4.19555 0.103534 0 0
50.6549 2.82265 0.0696636 0 0
50.8049 2.11137 0.0521114 0 0
50.9549 2.24934 0.0555163 0 0
51.0049 0.863878 0.0213226 0 0
51.1549 1.50365 0.0371129 0 0
51.4049 2.21964 0.0547833 0 0
51.6549 1.09512 0.0270301 0 0
51.8549 0.506432 0.0125001 0 0
52.0549 0.771739 0.0190484 0 0
52.2049 1.272 0.0313956 0 0
52.4049 2.56068 0.0631993 0 0
52.6049 2.54492 0.0628102 0 0
52.8049 2.66665 0.065814 0 0
52.9549 2.20732 0.0544792 0 0
53.1549 1.90967 0.0471335 0 0
53.3049 1.12896 0.0278652 0 0
53.5049 0.478814 0.0118184 0 0
53.6549 0.422553 0.0104297 0 0
53.7049 0.244288 0.00602968 0 0
53.9049 1.88938 0.0466328 0 0
54.0549 1.18719 0.0293025 0 0
54.3049 2.61431 0.0645225 0 0
54.5049 2.51487 0.0620686 0 0
54.5549 0.277945 0.00686041 0 0
54.8049 3.22765 0.0796564 0 0
55.1049 4.10939 0.101409 0 0
55.3049 2.74917 0.0678503 0 0
55.5049 2.79703 0.0690313 0 0
55.6049 1.07208 0.0264614 0 0
55.7549 2.11852 0.0522877 0 0
55.8049 0.788797 0.0194695 0 0
56.0049 2.79952 0.0690928 0 0
56.2549 3.65215 0.0901296 0 0
56.5549 4.24117 0.10466 0 0
56.7049 2.22087 0.0548135 0 0
56.9049 2.78144 0.0686466 0 0
56.9549 1.05425 0.0260213 0 0
57.1049 2.05849 0.0508062 0 0
57.3549 3.5653 0.087987 0 0
57.5049 2.18525 0.0539345 0 0
57.7549 3.20794 0.0791702 0 0
57.9049 1.48693 0.0367005 0 0
58.1549 3.73778 0.0922421 0 0
58.2049 1.06601 0.0263116 0 0
58.2549 0.890794 0.021987 0 0
58.5049 1.7075 0.0421441 0 0
58.7049 1.10815 0.0273517 0 0
58.7549 0.101039 0.00249392 0 0
58.9049 0.43172 0.010656 0 0
59.0549 0.720386 0.0177809 0 0
59.2049 0.760035 0.0187596 0 0
59.4549 1.85924 0.045889 0 0
59.5549 1.21604 0.0300145 0 0
59.9049 4.6866 0.115646 0 0
60.0049 1.31872 0.0325489 0 0
60.2549 3.64956 0.0900656 0 0
60.4049 2.15305 0.05314 0 0
60.5049 1.67792 0.0414141 0 0
60.7549 2.71994 0.0671292 0 0
60.8049 1.20634 0.0297752 0 0
61.0049 3.38144 0.0834509 0 0
61.2549 3.42254 0.0844648 0 0
61.5049 3.58955 0.0885852 0 0
61.7549 3.91578 0.0966331 0 0
61.9049 2.21932 0.0547752 0 0
61.9549 0.971202 0.0239716 0 0
62.1049 3.07756 0.0759534 0 0
62.2049 1.43307 0.0353712 0 0
62.4049 4.03285 0.0995211 0 0
62.4549 1.04774 0.0258607 0 0
62.7049 3.44258 0.0849593 0 0
62.9549 3.47713 0.0858118 0 0
63.0049 0.688519 0.0169944 0 0
63.2049 3.03728 0.0749594 0 0
63.4549 3.75534 0.0926754 0 0
63.7049 6.1265 0.151146 0 0
63.9049 2.7672 0.0682953 0 0
64.1049 2.71997 0.0671298 0 0
64.2549 2.05962 0.0508342 0 0
64.5049 2.37853 0.0587042 0 0
64.6549 0.976955 0.0241136 0 0
64.9049 1.17321 0.0289575 0 0
65.0549 0.792288 0.0195556 0 0
65.2549 1.69682 0.0418805 0 0
65.4049 1.45038 0.0357984 0 0
65.6049 2.25003 0.0555331 0 0
65.7549 1.58728 0.039177 0 0
65.9549 2.53039 0.0624517 0 0
66.1049 1.9101 0.0471441 0 0
66.3049 1.47907 0.0365065 0 0
66.5049 1.85892 0.0458812 0 0
66.6549 1.27441 0.0314553 0 0
66.8549 1.78061 0.0439484 0 0
67.0549 2.08622 0.0514907 0 0
67.3049 2.67261 0.0659613 0 0
67.4549 1.81894 0.0448944 0 0
67.6549 2.89781 0.0715181 0 0
67.7049 0.962447 0.0237555 0 0
67.8549 2.08466 0.0514521 0 0
67.9049 0.685409 0.0169176 0 0
68.1549 3.82208 0.0943217 0 0
68.2049 0.693211 0.0171102 0 0
68.4549 1.5362 0.0379165 0 0
68.7049 2.18982 0.0540472 0 0
68.7549 0.477562 0.0117875 0 0
69.1049 3.1735 0.0783205 0 0
69.3049 2.82466 0.0697131 0 0
69.5549 2.8126 0.0694155 0 0
69.7049 1.16075 0.02865 0 0
69.8549 0.608006 0.0150072 0 0
70.0049 0.477166 0.0117777 0 0
70.2049 0.276626 0.00682787 0 0
70.4049 0.185649 0.00458231 0 0
70.4549 0.203774 0.0050297 0 0
70.6049 0.868068 0.021426 0 0
70.8049 1.52614 0.0376681 0 0
71.1549 3.69683 0.0912318 0 0
71.3049 1.70673 0.042125 0 0
71.4549 1.72168 0.042494 0 0
71.6049 2.15818 0.0532665 0 0
71.8049 2.55545 0.0630701 0 0
72.0049 3.14011 0.0774966 0 0
72.1549 1.94668 0.0480469 0 0
72.3549 2.6276 0.0648505 0 0
72.5049 2.22813 0.0549927 0 0
72.6549 2.11072 0.0520954 0 0
72.8549 2.77831 0.0685694 0 0
73.0549 2.96199 0.0731017 0 0
73.1049 0.693644 0.0171209 0 0
